"condition","std","replication","seed"
2,0,27,783
3,0,27,784
4,0,27,785
5,0,27,786
0,0.15,27,787
1,0.15,27,788
2,0.15,27,789
3,0.15,27,790
4,0.15,27,791
5,0.15,27,792
0,0.3,27,793
1,0.3,27,794
2,0.3,27,795
3,0.3,27,796
4,0.3,27,797
5,0.3,27,798
0,0.45,27,799
1,0.45,27,800
2,0.45,27,801
3,0.45,27,802
4,0.45,27,803
5,0.45,27,804
0,0.6,27,805
1,0.6,27,806
2,0.6,27,807
3,0.6,27,808
4,0.6,27,809
5,0.6,27,810
0,0,28,811
1,0,28,812
2,0,28,813
3,0,28,814
4,0,28,815
5,0,28,816
0,0.15,28,817
1,0.15,28,818
2,0.15,28,819
3,0.15,28,820
4,0.15,28,821
5,0.15,28,822
0,0.3,28,823
1,0.3,28,824
2,0.3,28,825
3,0.3,28,826
4,0.3,28,827
5,0.3,28,828
0,0.45,28,829
1,0.45,28,830
2,0.45,28,831
3,0.45,28,832
4,0.45,28,833
5,0.45,28,834
0,0.6,28,835
1,0.6,28,836
2,0.6,28,837
3,0.6,28,838
4,0.6,28,839
5,0.6,28,840
0,0,29,841
1,0,29,842
2,0,29,843
3,0,29,844
4,0,29,845
5,0,29,846
0,0.15,29,847
1,0.15,29,848
2,0.15,29,849
3,0.15,29,850
4,0.15,29,851
5,0.15,29,852
0,0.3,29,853
1,0.3,29,854
2,0.3,29,855
3,0.3,29,856
4,0.3,29,857
5,0.3,29,858
0,0.45,29,859
1,0.45,29,860
2,0.45,29,861
3,0.45,29,862
4,0.45,29,863
5,0.45,29,864
0,0.6,29,865
1,0.6,29,866
2,0.6,29,867
3,0.6,29,868
4,0.6,29,869
5,0.6,29,870
0,0,30,871
1,0,30,872
2,0,30,873
3,0,30,874
4,0,30,875
5,0,30,876
0,0.15,30,877
1,0.15,30,878
2,0.15,30,879
3,0.15,30,880
4,0.15,30,881
5,0.15,30,882
0,0.3,30,883
1,0.3,30,884
2,0.3,30,885
3,0.3,30,886
4,0.3,30,887
5,0.3,30,888
0,0.45,30,889
1,0.45,30,890
2,0.45,30,891
3,0.45,30,892
4,0.45,30,893
5,0.45,30,894
0,0.6,30,895
1,0.6,30,896
2,0.6,30,897
3,0.6,30,898
4,0.6,30,899
5,0.6,30,900
0,0,31,901
1,0,31,902
2,0,31,903
3,0,31,904
4,0,31,905
5,0,31,906
0,0.15,31,907
1,0.15,31,908
2,0.15,31,909
3,0.15,31,910
4,0.15,31,911
5,0.15,31,912
0,0.3,31,913
1,0.3,31,914
2,0.3,31,915
3,0.3,31,916
4,0.3,31,917
5,0.3,31,918
0,0.45,31,919
1,0.45,31,920
2,0.45,31,921
3,0.45,31,922
4,0.45,31,923
5,0.45,31,924
0,0.6,31,925
1,0.6,31,926
2,0.6,31,927
3,0.6,31,928
4,0.6,31,929
5,0.6,31,930
0,0,32,931
1,0,32,932
2,0,32,933
3,0,32,934
4,0,32,935
5,0,32,936
0,0.15,32,937
1,0.15,32,938
2,0.15,32,939
3,0.15,32,940
4,0.15,32,941
5,0.15,32,942
0,0.3,32,943
1,0.3,32,944
2,0.3,32,945
3,0.3,32,946
4,0.3,32,947
5,0.3,32,948
0,0.45,32,949
1,0.45,32,950
2,0.45,32,951
3,0.45,32,952
4,0.45,32,953
5,0.45,32,954
0,0.6,32,955
1,0.6,32,956
2,0.6,32,957
3,0.6,32,958
4,0.6,32,959
5,0.6,32,960
0,0,33,961
1,0,33,962
2,0,33,963
3,0,33,964
4,0,33,965
5,0,33,966
0,0.15,33,967
1,0.15,33,968
2,0.15,33,969
3,0.15,33,970
4,0.15,33,971
5,0.15,33,972
0,0.3,33,973
1,0.3,33,974
2,0.3,33,975
3,0.3,33,976
4,0.3,33,977
5,0.3,33,978
0,0.45,33,979
1,0.45,33,980
2,0.45,33,981
3,0.45,33,982
4,0.45,33,983
5,0.45,33,984
0,0.6,33,985
1,0.6,33,986
2,0.6,33,987
3,0.6,33,988
4,0.6,33,989
5,0.6,33,990
0,0,34,991
1,0,34,992
2,0,34,993
3,0,34,994
4,0,34,995
5,0,34,996
0,0.15,34,997
1,0.15,34,998
2,0.15,34,999
3,0.15,34,1000
4,0.15,34,1001
5,0.15,34,1002
0,0.3,34,1003
1,0.3,34,1004
2,0.3,34,1005
3,0.3,34,1006
4,0.3,34,1007
5,0.3,34,1008
0,0.45,34,1009
1,0.45,34,1010
2,0.45,34,1011
3,0.45,34,1012
4,0.45,34,1013
5,0.45,34,1014
0,0.6,34,1015
1,0.6,34,1016
2,0.6,34,1017
3,0.6,34,1018
4,0.6,34,1019
5,0.6,34,1020
0,0,35,1021
1,0,35,1022
2,0,35,1023
3,0,35,1024
4,0,35,1025
5,0,35,1026
0,0.15,35,1027
1,0.15,35,1028
2,0.15,35,1029
3,0.15,35,1030
4,0.15,35,1031
5,0.15,35,1032
0,0.3,35,1033
1,0.3,35,1034
2,0.3,35,1035
3,0.3,35,1036
4,0.3,35,1037
5,0.3,35,1038
0,0.45,35,1039
1,0.45,35,1040
2,0.45,35,1041
3,0.45,35,1042
4,0.45,35,1043
5,0.45,35,1044
0,0.6,35,1045
1,0.6,35,1046
2,0.6,35,1047
3,0.6,35,1048
4,0.6,35,1049
5,0.6,35,1050
0,0,36,1051
1,0,36,1052
2,0,36,1053
3,0,36,1054
4,0,36,1055
5,0,36,1056
0,0.15,36,1057
1,0.15,36,1058
2,0.15,36,1059
3,0.15,36,1060
4,0.15,36,1061
5,0.15,36,1062
0,0.3,36,1063
1,0.3,36,1064
2,0.3,36,1065
3,0.3,36,1066
4,0.3,36,1067
5,0.3,36,1068
0,0.45,36,1069
1,0.45,36,1070
2,0.45,36,1071
3,0.45,36,1072
4,0.45,36,1073
5,0.45,36,1074
0,0.6,36,1075
1,0.6,36,1076
2,0.6,36,1077
3,0.6,36,1078
4,0.6,36,1079
5,0.6,36,1080
0,0,37,1081
1,0,37,1082
2,0,37,1083
3,0,37,1084
4,0,37,1085
5,0,37,1086
0,0.15,37,1087
1,0.15,37,1088
2,0.15,37,1089
3,0.15,37,1090
4,0.15,37,1091
5,0.15,37,1092
0,0.3,37,1093
1,0.3,37,1094
2,0.3,37,1095
3,0.3,37,1096
4,0.3,37,1097
5,0.3,37,1098
0,0.45,37,1099
1,0.45,37,1100
2,0.45,37,1101
3,0.45,37,1102
4,0.45,37,1103
5,0.45,37,1104
0,0.6,37,1105
1,0.6,37,1106
2,0.6,37,1107
3,0.6,37,1108
4,0.6,37,1109
5,0.6,37,1110
0,0,38,1111
1,0,38,1112
2,0,38,1113
3,0,38,1114
4,0,38,1115
5,0,38,1116
0,0.15,38,1117
1,0.15,38,1118
2,0.15,38,1119
3,0.15,38,1120
4,0.15,38,1121
5,0.15,38,1122
0,0.3,38,1123
1,0.3,38,1124
2,0.3,38,1125
3,0.3,38,1126
4,0.3,38,1127
5,0.3,38,1128
0,0.45,38,1129
1,0.45,38,1130
2,0.45,38,1131
3,0.45,38,1132
4,0.45,38,1133
5,0.45,38,1134
0,0.6,38,1135
1,0.6,38,1136
2,0.6,38,1137
3,0.6,38,1138
4,0.6,38,1139
5,0.6,38,1140
0,0,39,1141
1,0,39,1142
2,0,39,1143
3,0,39,1144
4,0,39,1145
5,0,39,1146
0,0.15,39,1147
1,0.15,39,1148
2,0.15,39,1149
3,0.15,39,1150
4,0.15,39,1151
5,0.15,39,1152
0,0.3,39,1153
1,0.3,39,1154
2,0.3,39,1155
3,0.3,39,1156
4,0.3,39,1157
5,0.3,39,1158
0,0.45,39,1159
1,0.45,39,1160
2,0.45,39,1161
3,0.45,39,1162
4,0.45,39,1163
5,0.45,39,1164
0,0.6,39,1165
1,0.6,39,1166
2,0.6,39,1167
3,0.6,39,1168
4,0.6,39,1169
5,0.6,39,1170
0,0,40,1171
1,0,40,1172
2,0,40,1173
3,0,40,1174
4,0,40,1175
5,0,40,1176
0,0.15,40,1177
1,0.15,40,1178
2,0.15,40,1179
3,0.15,40,1180
4,0.15,40,1181
5,0.15,40,1182
0,0.3,40,1183
1,0.3,40,1184
2,0.3,40,1185
3,0.3,40,1186
4,0.3,40,1187
5,0.3,40,1188
0,0.45,40,1189
1,0.45,40,1190
2,0.45,40,1191
3,0.45,40,1192
4,0.45,40,1193
5,0.45,40,1194
0,0.6,40,1195
1,0.6,40,1196
2,0.6,40,1197
3,0.6,40,1198
4,0.6,40,1199
5,0.6,40,1200
0,0,41,1201
1,0,41,1202
2,0,41,1203
3,0,41,1204
4,0,41,1205
5,0,41,1206
0,0.15,41,1207
1,0.15,41,1208
2,0.15,41,1209
3,0.15,41,1210
4,0.15,41,1211
5,0.15,41,1212
0,0.3,41,1213
1,0.3,41,1214
2,0.3,41,1215
3,0.3,41,1216
4,0.3,41,1217
5,0.3,41,1218
0,0.45,41,1219
1,0.45,41,1220
2,0.45,41,1221
3,0.45,41,1222
4,0.45,41,1223
5,0.45,41,1224
0,0.6,41,1225
1,0.6,41,1226
2,0.6,41,1227
3,0.6,41,1228
4,0.6,41,1229
5,0.6,41,1230
0,0,42,1231
1,0,42,1232
2,0,42,1233
3,0,42,1234
4,0,42,1235
5,0,42,1236
0,0.15,42,1237
1,0.15,42,1238
2,0.15,42,1239
3,0.15,42,1240
4,0.15,42,1241
5,0.15,42,1242
0,0.3,42,1243
1,0.3,42,1244
2,0.3,42,1245
3,0.3,42,1246
4,0.3,42,1247
5,0.3,42,1248
0,0.45,42,1249
1,0.45,42,1250
2,0.45,42,1251
3,0.45,42,1252
4,0.45,42,1253
5,0.45,42,1254
0,0.6,42,1255
1,0.6,42,1256
2,0.6,42,1257
3,0.6,42,1258
4,0.6,42,1259
5,0.6,42,1260
0,0,43,1261
1,0,43,1262
2,0,43,1263
3,0,43,1264
4,0,43,1265
5,0,43,1266
0,0.15,43,1267
1,0.15,43,1268
2,0.15,43,1269
3,0.15,43,1270
4,0.15,43,1271
5,0.15,43,1272
0,0.3,43,1273
1,0.3,43,1274
2,0.3,43,1275
3,0.3,43,1276
4,0.3,43,1277
5,0.3,43,1278
0,0.45,43,1279
1,0.45,43,1280
2,0.45,43,1281
3,0.45,43,1282
4,0.45,43,1283
5,0.45,43,1284
0,0.6,43,1285
1,0.6,43,1286
2,0.6,43,1287
3,0.6,43,1288
4,0.6,43,1289
5,0.6,43,1290
0,0,44,1291
1,0,44,1292
2,0,44,1293
3,0,44,1294
4,0,44,1295
5,0,44,1296
0,0.15,44,1297
1,0.15,44,1298
2,0.15,44,1299
3,0.15,44,1300
4,0.15,44,1301
5,0.15,44,1302
0,0.3,44,1303
1,0.3,44,1304
2,0.3,44,1305
3,0.3,44,1306
4,0.3,44,1307
5,0.3,44,1308
0,0.45,44,1309
1,0.45,44,1310
2,0.45,44,1311
3,0.45,44,1312
4,0.45,44,1313
5,0.45,44,1314
0,0.6,44,1315
1,0.6,44,1316
2,0.6,44,1317
3,0.6,44,1318
4,0.6,44,1319
5,0.6,44,1320
0,0,45,1321
1,0,45,1322
2,0,45,1323
3,0,45,1324
4,0,45,1325
5,0,45,1326
0,0.15,45,1327
1,0.15,45,1328
2,0.15,45,1329
3,0.15,45,1330
4,0.15,45,1331
5,0.15,45,1332
0,0.3,45,1333
1,0.3,45,1334
2,0.3,45,1335
3,0.3,45,1336
4,0.3,45,1337
5,0.3,45,1338
0,0.45,45,1339
1,0.45,45,1340
2,0.45,45,1341
3,0.45,45,1342
4,0.45,45,1343
5,0.45,45,1344
0,0.6,45,1345
1,0.6,45,1346
2,0.6,45,1347
3,0.6,45,1348
4,0.6,45,1349
5,0.6,45,1350
0,0,46,1351
1,0,46,1352
2,0,46,1353
3,0,46,1354
4,0,46,1355
5,0,46,1356
0,0.15,46,1357
1,0.15,46,1358
2,0.15,46,1359
3,0.15,46,1360
4,0.15,46,1361
5,0.15,46,1362
0,0.3,46,1363
1,0.3,46,1364
2,0.3,46,1365
3,0.3,46,1366
4,0.3,46,1367
5,0.3,46,1368
0,0.45,46,1369
1,0.45,46,1370
2,0.45,46,1371
3,0.45,46,1372
4,0.45,46,1373
5,0.45,46,1374
0,0.6,46,1375
1,0.6,46,1376
2,0.6,46,1377
3,0.6,46,1378
4,0.6,46,1379
5,0.6,46,1380
0,0,47,1381
1,0,47,1382
2,0,47,1383
3,0,47,1384
4,0,47,1385
5,0,47,1386
0,0.15,47,1387
1,0.15,47,1388
2,0.15,47,1389
3,0.15,47,1390
4,0.15,47,1391
5,0.15,47,1392
0,0.3,47,1393
1,0.3,47,1394
2,0.3,47,1395
3,0.3,47,1396
4,0.3,47,1397
5,0.3,47,1398
0,0.45,47,1399
1,0.45,47,1400
2,0.45,47,1401
3,0.45,47,1402
4,0.45,47,1403
5,0.45,47,1404
0,0.6,47,1405
1,0.6,47,1406
2,0.6,47,1407
3,0.6,47,1408
4,0.6,47,1409
5,0.6,47,1410
0,0,48,1411
1,0,48,1412
2,0,48,1413
3,0,48,1414
4,0,48,1415
5,0,48,1416
0,0.15,48,1417
1,0.15,48,1418
2,0.15,48,1419
3,0.15,48,1420
4,0.15,48,1421
5,0.15,48,1422
0,0.3,48,1423
1,0.3,48,1424
2,0.3,48,1425
3,0.3,48,1426
4,0.3,48,1427
5,0.3,48,1428
0,0.45,48,1429
1,0.45,48,1430
2,0.45,48,1431
3,0.45,48,1432
4,0.45,48,1433
5,0.45,48,1434
0,0.6,48,1435
1,0.6,48,1436
2,0.6,48,1437
3,0.6,48,1438
4,0.6,48,1439
5,0.6,48,1440
0,0,49,1441
1,0,49,1442
2,0,49,1443
3,0,49,1444
4,0,49,1445
5,0,49,1446
0,0.15,49,1447
1,0.15,49,1448
2,0.15,49,1449
3,0.15,49,1450
4,0.15,49,1451
5,0.15,49,1452
0,0.3,49,1453
1,0.3,49,1454
2,0.3,49,1455
3,0.3,49,1456
4,0.3,49,1457
5,0.3,49,1458
0,0.45,49,1459
1,0.45,49,1460
2,0.45,49,1461
3,0.45,49,1462
4,0.45,49,1463
5,0.45,49,1464
0,0.6,49,1465
1,0.6,49,1466
2,0.6,49,1467
3,0.6,49,1468
4,0.6,49,1469
5,0.6,49,1470
0,0,50,1471
1,0,50,1472
2,0,50,1473
3,0,50,1474
4,0,50,1475
5,0,50,1476
0,0.15,50,1477
1,0.15,50,1478
2,0.15,50,1479
3,0.15,50,1480
4,0.15,50,1481
5,0.15,50,1482
0,0.3,50,1483
1,0.3,50,1484
2,0.3,50,1485
3,0.3,50,1486
4,0.3,50,1487
5,0.3,50,1488
0,0.45,50,1489
1,0.45,50,1490
2,0.45,50,1491
3,0.45,50,1492
4,0.45,50,1493
5,0.45,50,1494
0,0.6,50,1495
1,0.6,50,1496
2,0.6,50,1497
3,0.6,50,1498
4,0.6,50,1499
5,0.6,50,1500
